Disaster Nbr,Disaster Type,Disaster Name,State,Service Office,Declaration Dt,Declaration FY,Deadline Dt,Rec Created Dt,Declaration Type Cd
241406,6,ELBA FLOOD,AL,9020,3/21/1990 0:00:00,1990,5/21/1990 0:00:00,4/12/1990 0:00:00,P
266706,6,MISS. RIVER FLOODING,NE,9030,7/19/1993 0:00:00,1993,9/17/1993 0:00:00,7/20/1993 0:00:00,P
266006,6,WISCONSIN FLOODING,WI,9020,7/2/1993 0:00:00,1993,9/1/1993 0:00:00,7/7/1993 0:00:00,P
340311,11,SEVERE STORMS AND FLOODING,VA,9010,4/2/2002 0:00:00,2002,6/1/2002 0:00:00,4/3/2002 0:00:00,P
321608,8,HURRICANE FLOYD,NY,9010,9/19/1999 0:00:00,1999,11/17/1999 0:00:00,9/20/1999 0:00:00,P
307412,12,MN TORNADOES,MN,9020,4/1/1998 0:00:00,1998,5/31/1998 0:00:00,4/1/1998 0:00:00,P
281308,8,HURRICANE OPAL,FL,9020,10/4/1995 0:00:00,1995,12/3/1995 0:00:00,10/12/1995 0:00:00,P
631501,01,,WA,9040,8/6/1985 0:00:00,1985,4/7/1986 0:00:00,8/15/1987 0:00:00,S
298206,6,NJ FLOODING,NJ,9010,9/23/1997 0:00:00,1997,11/22/1997 0:00:00,9/26/1997 0:00:00,P
191614,14,Extremely High Temperatures,MO,9040,9/5/1980 0:00:00,1980,3/5/1981 0:00:00,,A
144956,6,Severe Storms and Flooding,SC,9050,10/5/2015 0:00:00,2016,12/4/2015 0:00:00,10/6/2015 0:00:00,P
137686,6,"Severe Storms, Flooding, Landslides, and Mudslides",CO,9050,9/14/2013 0:00:00,2013,11/14/2013 0:00:00,9/16/2013 0:00:00,P
320612,12,SALT LAKE CITY TORNADO,UT,9030,8/16/1999 0:00:00,1999,10/14/1999 0:00:00,8/17/1999 0:00:00,P
363408,8,"TS JEANNE,LANDSLIDES,MUDSLIDES",PR,9010,9/21/2004 0:00:00,2004,11/22/2004 0:00:00,9/22/2004 0:00:00,P
194214,14,Drought and Excessive Heat,MS,9020,10/27/1980 0:00:00,1981,4/27/1981 0:00:00,,A
305706,6,CA STORMS/FLOODING,CA,9040,2/9/1998 0:00:00,1998,4/10/1998 0:00:00,2/10/1998 0:00:00,P
550500,00,FL RIOTS,FL,9020,5/22/1980 0:00:00,1980,2/23/1981 0:00:00,9/1/1988 0:00:00,A
247706,6,INDIANA STORMS AND FLOODING,IN,9020,1/5/1991 0:00:00,1991,3/7/1991 0:00:00,1/25/1991 0:00:00,P
105156,6,"Severe Storms, Flooding, and Mudslides",PA,9050,7/4/2006 0:00:00,2006,10/3/2006 0:00:00,7/5/2006 0:00:00,P
184506,06,"SEVERE STORMS, FLOODING",LA,9030,5/21/1980 0:00:00,1980,7/21/1980 0:00:00,,P
221308,08,HURRICANE GLORIA,NY,9010,10/22/1985 0:00:00,1985,12/23/1985 0:00:00,12/23/1987 0:00:00,A
12459B,B,"Severe Winter Storms, Flooding, and Debris and Mud Flows",CA,9050,2/2/2011 0:00:00,2011,4/4/2011 0:00:00,12/30/2010 0:00:00,A
278206,6,ILL FLOODING,IL,9020,5/30/1995 0:00:00,1995,7/29/1995 0:00:00,6/1/1995 0:00:00,P
248311,11,DECEMBER WINTER STORMS,WA,9040,3/14/1991 0:00:00,1991,5/16/1991 0:00:00,3/28/1991 0:00:00,A
259608,8,HURRICANE INIKI,HI,9040,9/12/1992 0:00:00,1992,11/13/1992 0:00:00,9/17/1992 0:00:00,P
313311,11,TROPICAL STORM FRANCES,LA,9030,9/23/1998 0:00:00,1998,11/22/1998 0:00:00,9/24/1998 0:00:00,P
362008,8,HURRICANE FRANCES,FL,9020,9/4/2004 0:00:00,2004,11/3/2004 0:00:00,9/7/2004 0:00:00,P
169408,08,Hurricane Frederic,AL,9020,9/13/1979 0:00:00,1979,11/13/1979 0:00:00,,P
213506,06,FLOOD,KY,9020,5/15/1984 0:00:00,1984,7/16/1984 0:00:00,8/3/1987 0:00:00,P
344911,11,TROPICAL STORM ISIDORE,LA,9030,9/27/2002 0:00:00,2002,11/26/2002 0:00:00,9/30/2002 0:00:00,P
321208,8,HURRICANE FLOYD,NC,9020,9/16/1999 0:00:00,1999,11/14/1999 0:00:00,9/20/1999 0:00:00,P
280606,6,OHIO FLOODING,OH,9020,8/25/1995 0:00:00,1995,10/24/1995 0:00:00,9/7/1995 0:00:00,P
262011,11,NE COASTAL STORM,NY,9010,12/21/1992 0:00:00,1992,2/19/1993 0:00:00,12/23/1992 0:00:00,P
940201,1,AG/TX DROUGHT/WIND/SAND STORM,TX,9030,1/3/1997 0:00:00,1997,9/3/1997 0:00:00,3/12/1997 0:00:00,S
351611,11,"STORMS, TORNADOES, FLOODING",AR,9030,6/20/2003 0:00:00,2003,8/19/2003 0:00:00,6/25/2003 0:00:00,P
132718,8,Hurricane Isaac,LA,9050,8/31/2012 0:00:00,2012,10/30/2012 0:00:00,8/30/2012 0:00:00,P
161606,06,FLOODING,MS,9020,4/16/1979 0:00:00,1979,6/15/1979 0:00:00,8/29/1988 0:00:00,P
315206,6,QUEENS COUNTY FLOODING,NY,9010,1/15/1999 0:00:00,1999,3/19/1999 0:00:00,1/20/1999 0:00:00,A
190014,14,TEXAS DROUGHT,TX,9030,8/12/1980 0:00:00,1980,4/13/1981 0:00:00,4/28/1989 0:00:00,A
321508,8,HURRICANE FLOYD,NJ,9010,9/18/1999 0:00:00,1999,11/16/1999 0:00:00,9/20/1999 0:00:00,P
108526,6,Severe Storms and Inland and Coastal Flooding,NY,9050,4/24/2007 0:00:00,2007,6/25/2007 0:00:00,4/25/2007 0:00:00,P
277506,6,NEW ORLEANS FLOODING,LA,9030,5/10/1995 0:00:00,1995,7/10/1995 0:00:00,5/12/1995 0:00:00,P
362908,8,HURRICANE IVAN,GA,9020,9/18/2004 0:00:00,2004,11/17/2004 0:00:00,9/20/2004 0:00:00,P
112886,6,"Severe Storms, Tornadoes, and Flooding",WI,9050,6/14/2008 0:00:00,2008,8/13/2008 0:00:00,6/12/2008 0:00:00,P
242206,6,FLOODING IN ARKANSAS,AR,9030,5/15/1990 0:00:00,1990,7/15/1990 0:00:00,5/30/1990 0:00:00,P
10440C,C,Tornadoes and Severe Storms,TN,9050,4/5/2006 0:00:00,2006,6/5/2006 0:00:00,4/6/2006 0:00:00,P
188006,06,FLOODING,OH,9020,7/23/1980 0:00:00,1980,,,A
174311,11,Hailstorm and Inclement Weather,NM,9030,12/13/1979 0:00:00,1980,6/13/1980 0:00:00,,A
552900,00,Drought,ND,9040,7/3/1980 0:00:00,1980,,,A
108716,6,Severe Storms and Inland and Coastal Flooding,ME,9050,5/9/2007 0:00:00,2007,7/9/2007 0:00:00,5/10/2007 0:00:00,P
253005,5,OAKLAND FIRES,CA,9040,10/22/1991 0:00:00,1991,12/23/1991 0:00:00,10/25/1991 0:00:00,P
355505,5,WILDFIRES,CA,9040,10/27/2003 0:00:00,2004,12/26/2003 0:00:00,10/28/2003 0:00:00,P
334808,8,TROPICAL STORM ALLISON,LA,9030,6/11/2001 0:00:00,2001,8/10/2001 0:00:00,6/18/2001 0:00:00,P
202206,06,CALIFORNIA FLOOD,CA,9040,1/7/1982 0:00:00,1982,3/8/1982 0:00:00,7/7/1988 0:00:00,P
293306,6,KENTUCKY FLOODING,KY,9020,3/4/1997 0:00:00,1997,5/3/1997 0:00:00,3/5/1997 0:00:00,P
