code,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
372,3849,3909,3976,4050,4129,4213,4303,4398,4490,4568,4627,4663,4678,4682,4686,4700
833,73,73,74,75,75,76,77,78,79,79,80,81,81,82,83,83
428,2384,2359,2332,2306,2279,2252,2225,2199,2172,2145,2119,2092,2066,2041,2016,1993
440,3502,3474,3445,3414,3381,3344,3304,3260,3215,3169,3124,3080,3037,2997,2962,2932
578,4499,4523,4546,4570,4598,4632,4673,4720,4771,4827,4886,4948,5012,5077,5140,5200
752,8882,8898,8921,8951,8991,9039,9096,9163,9237,9313,9390,9466,9541,9615,9689,9764
826,58951,59149,59349,59580,59884,60287,60803,61415,62076,62723,63307,63812,64250,64641,65016,65397
8,3122,3122,3119,3111,3098,3079,3054,3024,2992,2963,2941,2927,2920,2919,2921,2923
20,65,67,70,73,76,79,81,83,84,84,84,84,82,81,79,78
70,3767,3771,3776,3779,3781,3782,3779,3774,3764,3747,3722,3689,3648,3605,3566,3536
191,4428,4408,4396,4389,4384,4378,4371,4362,4352,4341,4328,4313,4297,4278,4258,4236
292,31,31,32,32,32,32,32,33,33,33,33,33,34,34,34,34
300,11142,11184,11217,11244,11270,11301,11339,11381,11420,11444,11446,11423,11378,11321,11265,11218
336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
380,57294,57506,57802,58147,58495,58808,59080,59314,59502,59642,59730,59760,59734,59668,59586,59504
470,397,399,401,403,405,407,409,410,412,414,416,418,421,423,426,428
499,614,613,613,614,615,616,618,619,621,623,624,625,626,627,628,628
620,10355,10399,10444,10487,10528,10566,10600,10630,10652,10661,10652,10625,10582,10528,10471,10418
674,27,28,28,28,29,29,30,30,30,31,31,32,32,32,33,33
688,9488,9413,9353,9303,9258,9215,9173,9135,9100,9065,9030,8994,8957,8920,8885,8851
705,1988,1988,1988,1989,1991,1996,2004,2014,2025,2035,2045,2053,2060,2066,2071,2075
724,40904,41392,41986,42653,43352,44043,44726,45394,45998,46476,46789,46909,46857,46698,46522,46398
807,2035,2043,2049,2053,2057,2060,2063,2065,2067,2069,2071,2072,2074,2076,2077,2079
40,8069,8098,8134,8176,8217,8254,8285,8312,8338,8370,8410,8460,8518,8578,8633,8679
56,10282,10319,10365,10419,10480,10547,10620,10698,10779,10860,10939,11013,11084,11152,11219,11288
250,59608,59911,60225,60550,60887,61234,61593,61961,62330,62688,63027,63344,63640,63920,64191,64457
276,81488,81536,81612,81686,81716,81671,81540,81344,81131,80966,80895,80934,81066,81265,81490,81708
438,33,34,34,34,35,35,35,35,36,36,36,36,37,37,37,37
442,436,440,444,447,452,458,466,475,485,496,508,520,532,545,556,567
492,32,32,33,33,33,34,34,35,36,37,37,37,38,38,38,38
528,15926,16018,16110,16201,16287,16367,16440,16507,16569,16627,16683,16737,16789,16840,16889,16938
756,7167,7203,7244,7292,7347,7410,7481,7560,7646,7737,7832,7930,8032,8133,8230,8320
660,11,11,12,12,12,13,13,13,13,14,14,14,14,14,14,15
28,84,85,86,87,88,89,90,91,92,94,95,96,97,98,99,100
533,91,93,95,97,99,100,101,101,101,101,102,102,103,103,104,104
