ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1975.5.1,1975,Metal Screen Sculpture,Vincent OBrien,"Metal, stained glass, machine parts.",Hampden Branch Library,,,3176109.81681,1663912.57859,{00000000-0000-0000-0000-000000000000}
1978.2.1,1978,La Alma Mural,Emanuel Martinez,Mural,La Alma Recreation Center,,,3139344.47174,1692606.64743,{00000000-0000-0000-0000-000000000000}
1980.4.1,1980,La Familia Cosmica,Jerry Jaramillo,Mural,La Familia Recreation Center,On Wall in Indoor Pool,,3142251.65101,1685889.12395,{00000000-0000-0000-0000-000000000000}
2003.17.1,2003,The Yearling,Donald Lipski,Steel  Fiberglass,Denver Public Library,Childrens Lawn,,3143882.77761,1694032.00948,{00000000-0000-0000-0000-000000000000}
1981.1.1,1981,At the Library,Barry Rose,Ceramic Tiles,Denver Public Library,Central Branch Exterior,,3143988.51703,1694108.81993,{00000000-0000-0000-0000-000000000000}
1982.1.1,1982,Kenneth Mackenzie MacIntosh,Dane Romberger,Bronze,Wellington E Webb Municipal Building,MacIntosh Plaza,,3143641.37135,1695118.33458,{00000000-0000-0000-0000-000000000000}
1988.3.1,1988,"Brown Flowers, the Mestizo People",Carlota Espinoza,Mural,Denver Department of Social Services,,,3133816.85568,1693063.28303,{00000000-0000-0000-0000-000000000000}
1988.4.1,1988-89,Keepsake Quilt,African-American Quilters and Colle,Fiber,Ford-Warren Branch Library, ,,3150078.40284,1700870.30953,{00000000-0000-0000-0000-000000000000}
1989.1.1,1989,Beatrix Potter Characters,Jo Ehr ,Painting,Athmar Branch Library, ,,3136897.21494,1679163.18899,{00000000-0000-0000-0000-000000000000}
1993.1.2,1993,Beginning of a Century,Susan Cooper,Oil on Sculpted Wood,City and County Building,,,3143168.53502,1694579.6615,{00000000-0000-0000-0000-000000000000}
2003.18.1,2003,World Family,Bob Luna & Martha Keating,Ceramic Murals,Family Crisis Center,Interior,,3133903.35152,1692387.67543,{00000000-0000-0000-0000-000000000000}
2003.19.1,2003,Color Wind,George Peters and Melanie Walker,Powder coated Aluminum,Family Crisis Center,Exterior,,3133888.82864,1692386.46512,{00000000-0000-0000-0000-000000000000}
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133890.03894,1692408.25139,{00000000-0000-0000-0000-000000000000}
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133888.82864,1692431.24805,{00000000-0000-0000-0000-000000000000}
2003.22.1,2003,"Bird House, Light House and Tree House",Sandy Toland,Ceramic and plywood murals,Family Crisis Center,Lobby Area,,3133926.34817,1692433.66873,{00000000-0000-0000-0000-000000000000}
2003.25.1,2003,Portrait of William Scheitler,Steve Altman,Acrylic Painting,Scheitler Recreation Center,,,3126081.62549,1709795.18604,{00000000-0000-0000-0000-000000000000}
1994.21.1,1994,Art Cronicles,Alex Sweetman,Photography,Denver International Airport,,,3232019.86439,1736016.68206,{00000000-0000-0000-0000-000000000000}
1932.2.1,1932,Eagle ,Nicolosi,Bronze,City and County Building,On top of building,Painted in 1949 with 23 karat gold leaf.  Measures 6ft 6in.,3143105.99811,1694543.81334,{00000000-0000-0000-0000-000000000000}
2007.1.1,"2007
2007",Aerial,"John Davis
","Metal and Concrete
",Denver Skate Park ,Little Raven St and 20th St,,3139790.47391,1701942.7458,{00000000-0000-0000-0000-000000000000}
2007.2.1,2007,Life of the Mind,John McEnroe,Plastic,"Green Valley Ranch School
Green Valley Ranch School
",4100 Jericho St,,3206267.78034,1712126.64238,{00000000-0000-0000-0000-000000000000}
2008.1.1,2008,Villa Park Gateway,Gary Sweeney,Steel and Stone,Villa Park,8th Ave and Grove St,,3133259.32797,1690917.91009,{00000000-0000-0000-0000-000000000000}
2008.2.1,2008,Fault Shadows,Patrick Marold,Steel and Glass gate and Rail Element,Gates Tennis Center,3300 East Bayaud Ave,,3155181.16279,1685457.17846,{00000000-0000-0000-0000-000000000000}
2008.5.1,2008,Westwood Renaissance,Daniel Salazar,Photo Installation,Westwood Community Center,980 S Lowell St,,3131478.1985,1680193.88872,{00000000-0000-0000-0000-000000000000}
2008.6.1,2008,"Untitled
",Conor Hollis,Powder Coated Steel,Aquagolf,501 W Florida Ave,,3142315.8651,1676596.93514,{00000000-0000-0000-0000-000000000000}
2008.7.1,2008,National Velvet,John McEnroe,"Fiberglass, Resin, Sand and Steel",Highlands Bridge Overpass,,,3138210.49201,1701278.1658,{00000000-0000-0000-0000-000000000000}
2008.8.1,2008,Tradition,Joseph Cipri,Bronze,"Stapleton Fire Station
","7934 Martin Luther King Blvd
",,3169861.70342,1702163.82002,{00000000-0000-0000-0000-000000000000}
1953.1.1,1953,Old Courthouse Bell,Carol Candelaria Rothberg and or Fl,,14th and Larimer,West side of the Street,,3140542.62829,1697451.71984,{00000000-0000-0000-0000-000000000000}
2003.30.1,2003,Portrait of Hiwatha Davis , Robert Evans,Acrylic Painting,Hiawatha Davis Rec Center,,,3162514.81661,1703820.58992,{00000000-0000-0000-0000-000000000000}
2003.31.1,2003,Davis Rec in Motion,Gary Emrich,Video Installation,Hiawatha Davis Rec Center,,,3162544.32991,1703806.7008,{00000000-0000-0000-0000-000000000000}
2006.26.1,2006,Antique Gold and Aquamarine Chandelier,Dale Chihuly,Glass,Ellie Caulkins Opera House,Atrium of Opera House,,3141353.17551,1696581.30832,{00000000-0000-0000-0000-000000000000}
2005.8.1,2005,Good Fortune is Here to Stay,Yuan Xiao Ceng,Bronze,Denver Zoo,,,3153810.68915,1698472.2607,{00000000-0000-0000-0000-000000000000}
1920.5.1,1920,Elk Group and Buffalo,Allen True,Oil Painting on Canvas,Civic Center Park,North Portico,,3143698.73309,1694948.97786,{00000000-0000-0000-0000-000000000000}
1995.9.1,1995,Leap of Faith,Patty Ortiz,Painted Steel,Speer Boulevard Access Ramp at Wewatta,,,3139316.49345,1698525.46486,{00000000-0000-0000-0000-000000000000}
2001.2.1,2001,Common Ground,Barbara Grygutis,Stone,Commons Park,Little Raven St. and 15th St.,,3138888.51795,1700334.59083,{00000000-0000-0000-0000-000000000000}
1997.2.1,1997,Big Wheel,Ed Carpenter,Steel and Concrete,Broadway Viaduct,,,3143843.08542,1703031.53553,{00000000-0000-0000-0000-000000000000}
1998.5.1,1998,"Earth, Air, Fire, and Water",Nancy Lovendahl,Stone,Rockmont Park Cuernavaca Park,,,3140288.69119,1702328.94961,{00000000-0000-0000-0000-000000000000}
1906.1.1,1906,Sundial,Unknown,Bronze and Marble,City Park,West of the Pavillion,,3153791.95289,1697131.66808,{00000000-0000-0000-0000-000000000000}
1991.2.1,1991,A Good Catch,Peter Kola,Oil painting,Denver Police Department,,,3142752.64228,1694005.86873,{00000000-0000-0000-0000-000000000000}
1991.3.1,1991,Eagles Choice,Peter Kola,Oil painting,Denver Police Department,,,3142756.54214,1694034.4626,{00000000-0000-0000-0000-000000000000}
1991.4.1,1991,Deer Family Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142743.54517,1694050.05824,{00000000-0000-0000-0000-000000000000}
1991.6.1,1991,Wayward Winds,Peter Kola,Oil painting,Denver Police Department,,,3142744.84512,1694022.76558,{00000000-0000-0000-0000-000000000000}
1993.15.1,1993,Arctic Sojourn,Kenneth Bunn,Bronze,Denver Zoo,,,3154836.70145,1698717.16635,{00000000-0000-0000-0000-000000000000}
1993.5.1,1993,Neighborhood Epic,Martha Keating and Bob Luna,Tile Mosiac,20th St. Viaduct,,,3139251.51325,1702827.85111,{00000000-0000-0000-0000-000000000000}
1993.13.1,1993,A Life in Harmony with all Creation,"Ken and Judith Williams, and Maria",Ceramic Mosiac,15th Street Underpass,,,3139323.7685,1699494.96659,{00000000-0000-0000-0000-000000000000}
1996.6.1,1996,River Glyph ,Andrew Dufford,Sandblasted Concrete/Lithochrome Dye,City of Cuernavaca Park,"Along Park Paths, I-25 and 20th St.",,3139658.93406,1702377.38305,{00000000-0000-0000-0000-000000000000}
1993.14.1,1993,Frog,Susan Raymond,Bronze,Denver Zoo,,,3154714.07436,1698668.11471,{00000000-0000-0000-0000-000000000000}
2006.27.1,2006,Two Hundred And Twenty Two Point Five Degrees Arc,Bernar Venet,Steel,Commons Park,Little Raven St. and 15th St.,,3139330.18376,1700696.39966,{00000000-0000-0000-0000-000000000000}
1997.8.1,1997,Visions Born by This River,Robert Tully,Stone,Gates Crescent Park ,W 23rd Ave. and Water St.,,3135992.08481,1698108.3543,{00000000-0000-0000-0000-000000000000}
2003.1.1,2003,East 2 West Source Point,Larry Kirkland,"Carrara Marble, Cast Bronze and Gold Leaf",Wellington E Webb Municipal Building,,,3143328.95565,1694929.31099,{00000000-0000-0000-0000-000000000000}
2003.15.1,2003,Building Blocks,Robert Murase,Stone and Marble,Wellington E Webb Municipal Building,,,3143661.85377,1695133.58865,{00000000-0000-0000-0000-000000000000}
2003.16.1,2003,Tools,Donald Lipski,Mixed Media,Wellington E Webb Municipal Building,,,3143540.79932,1695204.51746,{00000000-0000-0000-0000-000000000000}
2003.7.1,2003,Workers,Darrell Anderson,Ceramic Mosaic,Wellington E Webb Municipal Building,,,3143235.32892,1695015.3718,{00000000-0000-0000-0000-000000000000}
2003.12.1,2003,Whole Life,Bonny Lhotka,Holograph,Wellington E Webb Municipal Building,,,3143250.46084,1695020.1002,{00000000-0000-0000-0000-000000000000}
2003.6.1,2003,Ascent,Bill Starke,Cast Metal,Wellington E Webb Municipal Building,,,3143289.23492,1695033.34132,{00000000-0000-0000-0000-000000000000}
2003.5.1,2003,Canyon Walls,Judith Trager,Fiber,Wellington E Webb Municipal Building,,,3143302.47605,1695035.23212,{00000000-0000-0000-0000-000000000000}
2003.10.1,2003,Civic Centerized,Steven Altman,Acrylic Painting,Wellington E Webb Municipal Building,,,3143317.60797,1695043.74353,{00000000-0000-0000-0000-000000000000}
2003.13.1,2003,Antiquities and Revisisted,Sue Quinlan,Wood Carving,Wellington E Webb Municipal Building,,,3143338.41378,1695049.41872,{00000000-0000-0000-0000-000000000000}
2003.8.1,2003,Inter Spirit of the Created Colorado Vision,Nathaniel Bustion,Stone and Marble,Wellington E Webb Municipal Building,,,3143351.65365,1695056.03793,{00000000-0000-0000-0000-000000000000}
2003.4.1,2003,Grand Poobah and Office Fairy,Daniel Salazar,Photograph,Wellington E Webb Municipal Building,,,3143370.56858,1695066.44153,{00000000-0000-0000-0000-000000000000}
2004.5.1,2004,Model State; A Local Cosmology,John McEnroe,Fiberglass and Polyester Resin,Convention Center Expansion,,,3142023.04688,1695963.71706,{00000000-0000-0000-0000-000000000000}
2003.26.1,2003,The Spirit of Togetherness,Yvonne Munide,Acrylic Painting,African American Research Library,,,3145835.34821,1699202.46977,{00000000-0000-0000-0000-000000000000}
2004.8.1,2004,African American Spirit of the West,Thomas Jay Warren,Bronze,African American Research Library,,,3145846.03615,1699205.24112,{00000000-0000-0000-0000-000000000000}
2003.24.1,2003,Firehouse,Dennis Oppenheim,Aluminum Mixed Media,Fire Station 9,,,3149602.70295,1708960.0435,{00000000-0000-0000-0000-000000000000}
2003.28.1,2003,Bluecityjungle,Michael Gadlin,Acrylic Painting,Police Department District 2 Northeast,,,3162266.26896,1706280.61129,{00000000-0000-0000-0000-000000000000}
2004.7.1,2004,Silver Sky,Dayton Claudio,Epoxy Composit and acrylic,Montclair Recreation Center,,,3170324.09624,1690402.91115,{00000000-0000-0000-0000-000000000000}
2004.9.1,2004,Swimming under the Trees and Autumn Leaves,Shan Shan Sheng,Cold cast glass,Rude Park Recreation Center,,,3134072.47051,1693448.45327,{00000000-0000-0000-0000-000000000000}
2004.6.1,2004,Aqua Portal,Don Lawler and Meg White,Marble,Ashland Recreation Center,,,3135535.92832,1701947.06129,{00000000-0000-0000-0000-000000000000}
2005.5.1,2005,Camino,Michael Clapper,Limestone and stainless steel,Park Avenue Warehouse,,,3141808.58254,1703926.59813,{00000000-0000-0000-0000-000000000000}
1920.2.1,1920,The Prospector,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143737.14998,1694155.41186,{00000000-0000-0000-0000-000000000000}
2008.9.1,2008,Camarasaurus and Ceratosaurus,Gary Staab,Fiberglass,DMNS Garage,2001 Colorado Blvd,,3156342.78643,1697938.82514,{00000000-0000-0000-0000-000000000000}
2008.10.1,2008,Mustang,Luis Jimenez,Fiberglass and Steel,Pena Blvd and Pena Cir,,,3231346.53926,1729761.20792,{00000000-0000-0000-0000-000000000000}
2005.3.1,2005,Rehearsal,Stephen Batura,Acrylic Painting,Ellie Caulkins Opera House,,,3141378.68118,1696596.0741,{00000000-0000-0000-0000-000000000000}
2006.10.1,2006,Maria Mosina and Igor Vassim,John DeAndrea ,"Bronze, Polychromed in Oil",Ellie Caulkins Opera House,,,3141405.52832,1696606.81266,{00000000-0000-0000-0000-000000000000}
1994.3.1,1994,Flame of Compassion,Ross Barrable,Steel Wire,Communication Center,,,3152242.52389,1691673.91545,{00000000-0000-0000-0000-000000000000}
1997.7.1,1997,Family Pillar,Lisa Kaslow,Painted Steel,Social Services Building,,,3133964.49238,1693003.91744,{00000000-0000-0000-0000-000000000000}
1968.4.1,1968,Hungarian Freedom Monument,Zoltan and Steven Popovits,Bronze,Hungarian Park,,,3147439.91209,1687046.99739,{00000000-0000-0000-0000-000000000000}
1932.1.1,1932,Benedict Fountain,Maurice Bardin,Marble,Hungarian Park,,,3147164.87177,1687120.87156,{00000000-0000-0000-0000-000000000000}
1976.1.1,1976,Steel Street Fountain,Gary Dwyer,Concrete ,Cherry Creek Park,,,3154667.07975,1685574.83301,{00000000-0000-0000-0000-000000000000}
1976.3.1,1976,General Pulaski Monument,Zbigniew Maleszewski,Marble,Pulaski Park,,,3155607.98116,1684641.54308,{00000000-0000-0000-0000-000000000000}
1991.18.1,1991,Juntos/Together,Tony Ortega,Tile Mosiac,Lakewood Dry Gulch Park,,,3127902.24329,1692252.0306,{00000000-0000-0000-0000-000000000000}
1992.4.1,1992,Dominion,Evelyn Rosenberg,Steel,National Western Stock Show Complex,Exterior,,3148858.69375,1709759.15735,{00000000-0000-0000-0000-000000000000}
1993.12.1,1993,Family and Community Fun,Nick Vigil,Mural,St. Charles Recreation Center,,,3148640.95157,1705632.29371,{00000000-0000-0000-0000-000000000000}
1995.7.1,1995,Argento Piattino con Pesce,Andy Libertone,Metal/Stone,6th Speer and Lincoln,,,3144560.75007,1689507.47969,{00000000-0000-0000-0000-000000000000}
1996.1.1,1996,Bridge of Recycling Fountains,Laura Audrey,Water/Steel,2000 West Third Avenue,,,3138111.16704,1687854.99275,{00000000-0000-0000-0000-000000000000}
1996.2.1,1996,Mountain Streams,Steven Jensen,Wood,Davis Pavilion,,,3143274.09383,1690520.99038,{00000000-0000-0000-0000-000000000000}
1988.2.1,1988,When Legends Run Free (Running Wolves),Rik Sargent,Bronze,Museum of Nature and Science,,,3156727.48188,1697895.7896,{00000000-0000-0000-0000-000000000000}
1969.1.1,1968,Unititled,Angelo DiBenidetto,concrete and original was plywood,Burns Park,,Redone in 2004 in concrete,3157607.57976,1685009.17899,{00000000-0000-0000-0000-000000000000}
1999.1.1,1999,Jazz,Barbara Baer,Painted Steel,Burns Park,,,3157595.6445,1685163.04116,{00000000-0000-0000-0000-000000000000}
1993.7.1,1993,Petros,Bill Gian.,Painted Steel,Creekfront Park,,,3140507.25537,1697234.55949,{00000000-0000-0000-0000-000000000000}
1995.4.1,1995,Legend,William Burgess,Painted Steel,16th Street Mall Extension,,,3140586.24889,1698891.24245,{00000000-0000-0000-0000-000000000000}
1995.5.1,1995,Platte Valley Time Vanes  6 vanes,David Griggs,Painted Fabricated Steel,23rd Street Viaduct,,,3143137.70225,1701063.08751,{00000000-0000-0000-0000-000000000000}
1968.3.1,1968,Untitled,Wilbert Verhelst,Wood and plexiglass,Burns Park,,,3157519.90577,1684722.72112,{00000000-0000-0000-0000-000000000000}
1968.2.1,1968,Untitled,Roger Kotoske,Wood and plexiglass,Burns Park,,,3157660.53154,1684886.99989,{00000000-0000-0000-0000-000000000000}
1989.4.1,1989,Hogback,Elaine Calzolari,Sandstone  ,Cherry Creek Park,,,3154371.37265,1685640.84385,{00000000-0000-0000-0000-000000000000}
1990.2.1,1990,Park and Garden Benches,Carolyn Braaksma,Concrete and Bronze,Colorado Blvd and MLK Blvd,,,3166038.21316,1705931.76436,{00000000-0000-0000-0000-000000000000}
1990.1.1,1990,Sandstone Median,Trine Bumiller,Sandstone,Colorado Blvd,On medians down Colorado Blvd. between 44th and Alameda,,3157337.33965,1685671.92978,{00000000-0000-0000-0000-000000000000}
1994.4.1,1994,First Round,JoeSam.,Painted Steel Wood,Kennedy Golf Course,,,3178362.12943,1663436.00599,{00000000-0000-0000-0000-000000000000}
1995.8.1,1995,Untitled  Geomantic Artwork,Wang Po Shu,Stone Wood Steel,Ross University Hills Branch Library,Exterior,,3158538.48872,1667687.05474,{00000000-0000-0000-0000-000000000000}
1998.3.1,1998,Full Play,Barbara Baer,Plexiglass and metal,Cook Park,,,3166418.36683,1675697.87232,{00000000-0000-0000-0000-000000000000}
1998.2.1,1998,Man and Woman two pieces,Fernando Botero,Bronze,DPAC Atrium,,,3140963.80265,1696385.09925,{00000000-0000-0000-0000-000000000000}
1997.4.1,1997,Monumental Intentions,Marcus Akinlana,Tile Mosiac,PLEX Galleria,,,3141126.12978,1696536.14098,{00000000-0000-0000-0000-000000000000}
1997.5.1,1997,Twi Lights,John Powell,Light Installation,Plex Garage,,,3141063.62926,1696733.18901,{00000000-0000-0000-0000-000000000000}
1971.1.1,1971,Anemotive Tower 6,Robert Mangold,Steel,Athmar Branch Library,Exterior,,3136964.86855,1679094.39132,{00000000-0000-0000-0000-000000000000}
1980.1.1,1980,Infinite Energy,Victor M. Contreras,Bronze,Denver Performing Arts Complex,,,3141145.2265,1696523.98817,{00000000-0000-0000-0000-000000000000}
1991.19.1,1991,Ode to the West Wind,George Woodman,Tile Mosiac,Temple Buell Theatre,Mezzanine Level,,3141159.98318,1696538.74478,{00000000-0000-0000-0000-000000000000}
1991.8.1,1991,Union Spire,Kevin Oehler,Painted Steel,14th and Wazee,,,3140066.00765,1697929.05216,{00000000-0000-0000-0000-000000000000}
1991.10.1,1991,Colorado Vactionland,Gary Sweeney,Photographic Installation,16th and California,,,3142818.27774,1696776.2123,{00000000-0000-0000-0000-000000000000}
1992.2.1,1992,Soundwalk,Jim Green,Sound Sculpture,Between 15th and 16th on Curtis,,,3141559.65958,1697464.4142,{00000000-0000-0000-0000-000000000000}
1992.3.1,1992,Creekfront,Barry Rose,Ceramic Tiles,Creekfront Park,On bollards at Speer Boulevard and Larimer street entrances to the Cherry Creek Path,,3140526.67297,1697274.31015,{00000000-0000-0000-0000-000000000000}
1912.1.1,1912,Childrens Fountain,Max Blondet,Marble,City Park,South Path around Ferril Lake,,3155278.12971,1696747.23923,{00000000-0000-0000-0000-000000000000}
1925.1.1,1925-1926,Elizabeth Allen Sopris Mem;Sundial and Flagpole,Unknown,Bronze and Marble,City Park,West of the Pavillion,,3153855.16113,1697131.7187,{00000000-0000-0000-0000-000000000000}
2001.1.1,2001,Martin Luther King Jr  Monument,Ed Dwight,Marble/Bronze,"City Park  Martin Luther King, Jr. Sculpture",,,3153387.3597,1697084.79173,{00000000-0000-0000-0000-000000000000}
1961.1.1,1961,Elephant at the Waterhole Mural,Eva Brand,Mural,Denver Zoo,,,3154876.30407,1698623.55517,{00000000-0000-0000-0000-000000000000}
1981.3.1,1981,Golden Eagle Sculpture,T.H. Dickson,Bronze,Denver Zoo,,,3154891.83082,1698600.265,{00000000-0000-0000-0000-000000000000}
1988.1.1,1988,Cares For Her Brother,Veryl Goodnight,Bronze,Denver Zoo,,,3154889.88933,1698575.03466,{00000000-0000-0000-0000-000000000000}
2004.4.1,2004,Laughing Escalator,Jim Green,Sound Installation,Convention Center Expansion,,,3141891.97976,1696065.51238,{00000000-0000-0000-0000-000000000000}
2003.9.1,2003,Construction  ,Darrell Anderson,Painted Ceramic,Wellington E Webb Municipal Building,5th Floor Elevator Hall,,3143383.88893,1695090.28491,{00000000-0000-0000-0000-000000000000}
2005.7.1,2005,Meeting of the Minds,Douglas Kornfeld ,Painted Steel,City Park Golf Clubhouse,,,3151970.52854,1699580.95652,{00000000-0000-0000-0000-000000000000}
2006.11.1,2006,Gratis and Aegis,Jonathan Stiles,Steel,Police Department District 3 Southwest,,,3152047.43327,1675678.77949,{00000000-0000-0000-0000-000000000000}
1934.1.1,1934,American Indian Orpheus and the Animals,Gladys Caldwell Fisher,Stone Relief,City and County Building,,,3143163.20792,1694528.63197,{00000000-0000-0000-0000-000000000000}
1939.1.1,1939,Unknown,Louise Ronnebeck,Fresco,Denver General Hospital, ,,3143315.00938,1689950.13389,{00000000-0000-0000-0000-000000000000}
1991.14.1,1991,At Play,Julie Burrington,Mural,Congress Park Pool,,,3153046.43077,1691239.68355,{00000000-0000-0000-0000-000000000000}
1997.6.1,1997,The Flag,Jill Burkee/Giancarlo Biagi,Painted Bronze,Social Services Building,,,3133955.32381,1693031.42175,{00000000-0000-0000-0000-000000000000}
1992.1.1,1992,Personal Icons,Barry Rose,Bronze Tiles,Ross Barnum Branch Library,,,3130990.34513,1686723.02105,{00000000-0000-0000-0000-000000000000}
1968.1.1,1968,Homage To The Pioneer,Susan Pogzeba,Bronze and Concrete,SE Corner of Lincoln and Speer,,,3144385.35458,1690114.48174,{00000000-0000-0000-0000-000000000000}
1969.2.1,1968,Untitled  Dedicated To Martin Luther King Jr,Anthony Magar,Wood and plexiglass,Burns Park,,,3158043.77817,1684879.83802,{00000000-0000-0000-0000-000000000000}
1991.16.1,1991,Jesters,Mike Davis,Painted Steel Sculptures,Curtis between 14th and 16th,On either side of the street,,3141454.51372,1696763.74645,{00000000-0000-0000-0000-000000000000}
2003.39.1,2003,Dancers,Jonathan Borofsky,Steel and Fiberglass,DPAC Sculpture Park,Speer side,,3140818.83732,1695921.55738,{00000000-0000-0000-0000-000000000000}
1975.1.1,1975,Untitled,Gerald Cross,Steel  and Plexiglass,Auraria Triangle,,,3140737.24001,1695014.43931,{00000000-0000-0000-0000-000000000000}
1991.11.1,1991,Jade Spire,Kevin Oehler,Bronze,17th and Blake,,,3141166.43102,1698923.61535,{00000000-0000-0000-0000-000000000000}
1909.1.1,1909,Robert Burns Memorial,Grant Stevenson,Bronze,City Park,,,3153629.32578,1697476.33593,{00000000-0000-0000-0000-000000000000}
1977.2.1,1977,The Sentinel  Pronghorn,Kenneth Bunn,Bronze,Denver Zoo,,,3154843.31031,1698611.91008,{00000000-0000-0000-0000-000000000000}
1924.1.1,1924,Pinhorn Statue and Drinking Fountain,Clara Soanson Dieman,Bronze, Larimer Square,Breezeway,,3140867.28117,1697532.44834,{00000000-0000-0000-0000-000000000000}
1998.4.1,1998,Sympathetic Embrace,Michael Clapper,Stone,Denver Health,Corner of Bannock and Speer,,3143419.72021,1690486.81229,{00000000-0000-0000-0000-000000000000}
1989.5.1,1989,The Gorilla,Sherry Sander,Bronze,Denver Zoo,,,3153071.84758,1698722.89981,{00000000-0000-0000-0000-000000000000}
1991.5.1,1991,Moose And Baby Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142777.33621,1694044.85967,{00000000-0000-0000-0000-000000000000}
2002.1.1,2002,Northpark,Tony Ortega and Maureen Auman,Sandblasted Concrete/Lithochrome Dye,Northside Park North Platte Reclamation,,,3160411.24323,1713113.77379,{00000000-0000-0000-0000-000000000000}
2003.11.1,2003,South Gateway,Scott Greenig,Painting Acrylic,Wellington E Webb Municipal Building,,,3143275.04965,1695026.72072,{00000000-0000-0000-0000-000000000000}
2003.3.1,2003,Civic Center Floating Island,Jim Colbert,Oil Painting  ,Wellington E Webb Municipal Building,,,3143406.50638,1695107.20251,{00000000-0000-0000-0000-000000000000}
2003.27.1,2003,Cultural Tapestries,L.Brower Hatcher,Mixed Media,Police Department District 1 Northwest,,,3139718.36458,1709546.39557,{00000000-0000-0000-0000-000000000000}
2003.19.2,2003,House Play  Childerns Cabinets,George Peters and Melanie Walker,Painted Plywood  ,Family Crisis Center,Lobby Area,,3133917.87573,1692387.67543,{00000000-0000-0000-0000-000000000000}
1920.6.1,1920,The Ancient Mariner,Robert Garrison,Carved Stone,Park Hill Branch Library,Main Building East Wall,,3159560.57525,1697780.60248,{00000000-0000-0000-0000-000000000000}
2008.4.1,2008,Stimuli,Christopher Weed,Powder coated steel,Lowry Head Start,11th and Ulster St,,3170450.6697,1691736.95573,{00000000-0000-0000-0000-000000000000}
2009.1.1,2009,Current3,Virginia Folkstad,Light,Manny's Bridge,Wynkoop St over Cherry Creek,,3139625.59748,1698468.9927,{00000000-0000-0000-0000-000000000000}
1911.1.1,1911,Pioneer Fountain,Frederick MacMonnies,Bronze Granite,Broadway and Colfax,,,3144073.99213,1694938.70287,{00000000-0000-0000-0000-000000000000}
1970.1.1,1970,"Christopher Columbus, Discoverer of America",William F Joseph,Bronze,Civic Center Park,,,3143804.88282,1694668.52477,{00000000-0000-0000-0000-000000000000}
1920.3.1,1920,Broncho Buster,Alexander Phimister Proctor,Bronze,Civic Center Park,,,3143690.68269,1694431.85468,{00000000-0000-0000-0000-000000000000}
1922.1.1,1922,On The War Trail,Alexander Phimister Proctor,Bronze,Civic Center Park,,,3143807.63855,1694435.39874,{00000000-0000-0000-0000-000000000000}
1989.3.1,1989,Calculated Risk,Erick Johnson,Aluminum  ,City Permit Building,NE corner exterior,,3143305.39023,1694208.3919,{00000000-0000-0000-0000-000000000000}
1989.2.1,1989,Town Where The West Went Wild,Steven F. Morath,Mural,City Permit Building,,,3143291.22058,1694180.05128,{00000000-0000-0000-0000-000000000000}
2004.3.1,2004,Indeterminate Line,Bernar Venet,Cor-ten Steel,Convention Center Expansion,Corner of Speer and Stout,,3140886.45454,1695638.29404,{00000000-0000-0000-0000-000000000000}
1991.9.1,1991,Tail Spin,Erick Johnson,Metal Installation,Colorado Convention Center ,14th St side lobby exhibition hall,,3141712.23507,1696237.44047,{00000000-0000-0000-0000-000000000000}
2004.1.1,2004,Pioneers of Colorado,William Mathews,Watercolor,Convention Center Expansion,,,3141766.93976,1695911.81747,{00000000-0000-0000-0000-000000000000}
2004.2.1,2004,Wood Water Rock,Trine Bumiller,Oil Paintings,Convention Center Expansion,Amphitheatre Lobby,,3141506.44184,1695310.06593,{00000000-0000-0000-0000-000000000000}
2005.2.1,2005,Stone Garden,Jonathan Bonner,Granite,Convention Center Expansion,,,3142233.23215,1695833.66812,{00000000-0000-0000-0000-000000000000}
2005.1.1,2005,I See What You Mean,Lawrence Argent,Composite Materials,Convention Center Expansion,,,3141873.74401,1696180.13067,{00000000-0000-0000-0000-000000000000}
2005.4.1,2005,Reconstructing Ancient Colorado Landscapes,Johnson Vriesen Museum,Acrylic,Convention Center Expansion,,,3141639.15305,1695756.22912,{00000000-0000-0000-0000-000000000000}
1898.1.1,1898,The Boy and a Frog,Elsie Ward Hering,Bronze,Denver Botanic Gardens,,,3151543.38639,1691648.49587,{00000000-0000-0000-0000-000000000000}
1925.2.1,1925-26,The Story of a Pikes Peaker,Robert Garrison,Frieze Stone,Denver Botanic Gardens,,,3151158.02116,1691849.48868,{00000000-0000-0000-0000-000000000000}
1980.3.1,1980,Scripture Gardens,William F Joseph,Bronze Plaques,Denver Botanic Gardens,,,3151606.116,1691725.80906,{00000000-0000-0000-0000-000000000000}
1971.3.1,1971,Feature Fountain,Unknown,Stone,Denver Botanic Gardens,,,3151468.18112,1691736.19395,{00000000-0000-0000-0000-000000000000}
1938.1.1,1938,Unknown Portrait of Thomas Jefferson,Unknown,Oil on Canvas,City and County Building,,,3143162.33911,1694539.04856,{00000000-0000-0000-0000-000000000000}
