ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1993.9.1,1993,Sun Signal and Sun Flag  2 pieces,Stan Meyer,Painted Metal,Ross Cherry Creek Library,,,3154042.42252,1688006.35786,{00000000-0000-0000-0000-000000000000}
1922.3.1,1922,Sea Lions Fountain,Robert Garrison,Bronze,Civic Center Park,,,3143720.22584,1694892.34335,{00000000-0000-0000-0000-000000000000}
1991.1.1,1991,Colorado Panorama: A Peoples History,Barbara Jo Revelle,Photographic Tile Mural,Colorado Convention Center,,,3141881.55936,1695356.95526,{00000000-0000-0000-0000-000000000000}
1950.1.1,1950,Frontier Trail,Allen True,Oil Painting on Canvas,City and County Building,,,3143160.6028,1694551.20137,{00000000-0000-0000-0000-000000000000}
1919.2.1,1919,"Wynken, Blynken and Nod",Mabel Landrum Torrey,Marble,Washington Park,,,3149428.44796,1681648.94822,{00000000-0000-0000-0000-000000000000}
1994.10.1,1994,A Different Sense of Time,Dick Alweis,Video Installation,Denver International Airport,,,3231776.71529,1735439.13879,{00000000-0000-0000-0000-000000000000}
1994.18.1,1994,Notre Denver,Terry Allen,Stone,Denver International Airport,,,3231776.71529,1735178.72142,{00000000-0000-0000-0000-000000000000}
1994.28.1,1994,Rearing Mustang,Luis Jimenez,Fiberglass,Denver International Airport,,,3232210.74254,1735265.52765,{00000000-0000-0000-0000-000000000000}
2003.35.1,2003,Red Rocks scenries ,Carol Fitzgerald,Watercolor,Red Rocks Amphitheater,,,3082520.92444,1667454.08881,{00000000-0000-0000-0000-000000000000}
1994.2.1,1994,Lost Borders,Sherry Wiggins,Found objects,6th Speer and Lincoln,,,3144451.70171,1689841.52451,{00000000-0000-0000-0000-000000000000}
1997.3.1,1997,3 Wild Spaces  one of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167458.95194,1667833.97633,{00000000-0000-0000-0000-000000000000}
1965.2.1,1965,Untitled,Anthony Magar,Steel,University and 1st Triangle,,,3152163.56771,1687301.98246,{00000000-0000-0000-0000-000000000000}
